File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\AST\Generator\IntermediateForms\IntermediateStructMember.cs,25,22,16,0,3,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\Exceptions\ASTException.cs,19,17,12,0,2,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\Exceptions\ParseException.cs,46,40,25,1,6,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\Exceptions\PreprocessingException.cs,25,21,10,0,4,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\Exceptions\TokenException.cs,30,25,14,0,5,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\Cix\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixFrontend\Program.cs,188,154,99,12,20,0,14,24,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixFrontend\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixTests\StringExtensionsTests.cs,23,21,14,0,2,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Cix\Cix\Cix\CixTests\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
